wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-1007.9776611328125,False,1,48d4e154,2024-03-12_14-13-48,1710249228,24.451207876205444,24.451207876205444,48804,MacBookAir-di-Nicola,127.0.0.1,24.451207876205444,1
-1108.7065286075367,False,2,48d4e154,2024-03-12_14-14-14,1710249254,25.984453916549683,50.43566179275513,48804,MacBookAir-di-Nicola,127.0.0.1,50.43566179275513,2
-1115.0203426585479,False,3,48d4e154,2024-03-12_14-14-34,1710249274,20.7710440158844,71.20670580863953,48804,MacBookAir-di-Nicola,127.0.0.1,71.20670580863953,3
