wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-941.6050917681525,False,1,99f5942e,2024-03-11_16-15-22,1710170122,5.055525064468384,5.055525064468384,21368,MacBookAir-di-Nicola,127.0.0.1,5.055525064468384,1
-995.9133013556985,False,2,99f5942e,2024-03-11_16-15-27,1710170127,5.145727157592773,10.201252222061157,21368,MacBookAir-di-Nicola,127.0.0.1,10.201252222061157,2
-999.7221931008731,False,3,99f5942e,2024-03-11_16-15-32,1710170132,4.915704965591431,15.116957187652588,21368,MacBookAir-di-Nicola,127.0.0.1,15.116957187652588,3
-1020.131092744715,False,4,99f5942e,2024-03-11_16-15-37,1710170137,4.8578479290008545,19.974805116653442,21368,MacBookAir-di-Nicola,127.0.0.1,19.974805116653442,4
-1026.2938555549172,False,5,99f5942e,2024-03-11_16-15-41,1710170141,4.65874981880188,24.633554935455322,21368,MacBookAir-di-Nicola,127.0.0.1,24.633554935455322,5
-1053.6878087660846,False,6,99f5942e,2024-03-11_16-15-46,1710170146,4.884272813796997,29.51782774925232,21368,MacBookAir-di-Nicola,127.0.0.1,29.51782774925232,6
-1031.484234978171,False,7,99f5942e,2024-03-11_16-15-51,1710170151,4.867031097412109,34.38485884666443,21368,MacBookAir-di-Nicola,127.0.0.1,34.38485884666443,7
