wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-944.6114860983456,False,1,5664bb80,2024-03-12_14-10-43,1710249043,5.9995808601379395,5.9995808601379395,48650,MacBookAir-di-Nicola,127.0.0.1,5.9995808601379395,1
-983.2380694221048,False,2,5664bb80,2024-03-12_14-10-50,1710249050,6.80047607421875,12.80005693435669,48650,MacBookAir-di-Nicola,127.0.0.1,12.80005693435669,2
-976.9405445772059,False,3,5664bb80,2024-03-12_14-10-59,1710249059,8.953936100006104,21.753993034362793,48650,MacBookAir-di-Nicola,127.0.0.1,21.753993034362793,3
-992.0923354204963,True,4,5664bb80,2024-03-12_14-11-08,1710249068,9.402617692947388,31.15661072731018,48650,MacBookAir-di-Nicola,127.0.0.1,31.15661072731018,4
