date,energy,
13/07/2015,-0.120823548,
14/07/2015,-0.758280563,
15/07/2015,-0.484038908,
16/07/2015,-1.157272006,
17/07/2015,-0.897260225,
18/07/2015,-0.773469634,
19/07/2015,-0.755987903,
20/07/2015,-0.604362245,
21/07/2015,-0.105645778,
22/07/2015,-0.886375149,
23/07/2015,-0.389733886,
24/07/2015,-0.472328247,
25/07/2015,0.047837278,
26/07/2015,0.766935422,
27/07/2015,1.200797585,
28/07/2015,1.048052916,
29/07/2015,0.886319931,
30/07/2015,0.397312757,
31/07/2015,0.624749845,
01/08/2015,-0.076486309,
02/08/2015,-0.454280115,
03/08/2015,0.138527849,
04/08/2015,0.030495401,
05/08/2015,-0.141910971,
06/08/2015,0.432777849,
07/08/2015,0.059986999,
08/08/2015,-0.572351108,
09/08/2015,-0.255360044,
10/08/2015,-0.303799658,
11/08/2015,-0.429280533,
12/08/2015,0.368633904,
13/08/2015,0.367191037,
14/08/2015,-0.438536,
15/08/2015,0.491662678,
16/08/2015,0.980056558,
17/08/2015,1.149391905,
18/08/2015,0.289171463,
19/08/2015,0.164323671,
20/08/2015,0.113087913,
21/08/2015,0.602049969,
22/08/2015,0.633253972,
23/08/2015,-1.148595731,
24/08/2015,-0.1522591,
25/08/2015,0.597407286,
26/08/2015,-0.18947175,
27/08/2015,-0.904853662,
28/08/2015,-1.270526544,
29/08/2015,-0.288047963,
30/08/2015,-0.505874266,
31/08/2015,-0.965338133,
01/09/2015,-0.599514651,
02/09/2015,0.445523944,
03/09/2015,0.615934105,
04/09/2015,0.548944743,
05/09/2015,1.182859277,
06/09/2015,0.687378479,
07/09/2015,0.019832444,
08/09/2015,0.685736667,
09/09/2015,0.421417234,
10/09/2015,0.752013222,
11/09/2015,-1.131379561,
12/09/2015,-1.088623329,
13/09/2015,-0.472410815,
14/09/2015,0.840896674,
15/09/2015,0.675192604,
16/09/2015,0.724987954,
17/09/2015,0.733683052,
18/09/2015,0.824097098,
19/09/2015,0.252681222,
20/09/2015,0.867188758,
21/09/2015,1.537941767,
22/09/2015,0.323366022,
23/09/2015,0.979927225,
24/09/2015,0.36298455,
25/09/2015,-0.345144445,
26/09/2015,0.686517331,
27/09/2015,1.044697163,
28/09/2015,0.985567125,
29/09/2015,1.057590982,
30/09/2015,0.624030591,
01/10/2015,-0.098911853,
02/10/2015,0.079510105,
03/10/2015,-0.320981667,
04/10/2015,0.324825068,
05/10/2015,0.330223207,
06/10/2015,0.709696502,
07/10/2015,0.980529276,
08/10/2015,-0.152801598,
09/10/2015,-0.638188837,
10/10/2015,0.515542136,
11/10/2015,1.056437634,
12/10/2015,-0.060026546,
13/10/2015,0.222929286,
14/10/2015,1.013727805,
15/10/2015,0.884060319,
16/10/2015,0.441716784,
17/10/2015,-0.445767185,
18/10/2015,-1.047111352,
19/10/2015,0.169464685,
20/10/2015,0.344239464,
21/10/2015,0.7863649,
22/10/2015,1.350588737,
23/10/2015,1.516712703,
24/10/2015,1.131482111,
25/10/2015,1.126125273,
26/10/2015,-1.880249232,
27/10/2015,-1.942863214,
28/10/2015,-0.618872631,
29/10/2015,0.070651298,
30/10/2015,0.464823189,
31/10/2015,1.004263893,
01/11/2015,0.67835509,
02/11/2015,-0.199106442,
03/11/2015,-0.922930622,
04/11/2015,-0.40941709,
05/11/2015,-1.45866058,
06/11/2015,-0.475082868,
07/11/2015,0.679864388,
08/11/2015,0.276476937,
09/11/2015,0.16065963,
10/11/2015,-0.22794666,
11/11/2015,-0.908588362,
12/11/2015,-1.429181252,
13/11/2015,-0.901633465,
14/11/2015,-0.282022394,
15/11/2015,-0.909523257,
16/11/2015,-1.034330649,
17/11/2015,-0.550638818,
18/11/2015,-0.524301599,
19/11/2015,-1.012185112,
20/11/2015,0.964257673,
21/11/2015,1.50479702,
22/11/2015,1.208578178,
23/11/2015,-1.086147328,
24/11/2015,-0.346178926,
25/11/2015,0.190449205,
26/11/2015,0.574055034,
27/11/2015,0.62478904,
28/11/2015,0.231505802,
29/11/2015,-0.45252673,
30/11/2015,0.490570159,
01/12/2015,0.679721503,
02/12/2015,-0.956382747,
03/12/2015,-1.467453464,
04/12/2015,-1.685678976,
05/12/2015,-1.833542744,
06/12/2015,-1.557795171,
07/12/2015,-1.460829679,
08/12/2015,-0.997577139,
09/12/2015,-0.85160545,
10/12/2015,0.991182221,
11/12/2015,0.71212179,
12/12/2015,-0.217057681,
13/12/2015,-0.704279,
14/12/2015,-1.909736781,
15/12/2015,-1.198607088,
16/12/2015,0.360338807,
17/12/2015,0.179122901,
18/12/2015,-0.850479514,
19/12/2015,-0.594292079,
20/12/2015,-0.547099174,
21/12/2015,-1.027640039,
22/12/2015,-0.589299351,
23/12/2015,-0.971947056,
24/12/2015,-0.333556053,
25/12/2015,-0.407906173,
26/12/2015,-0.450778895,
27/12/2015,-1.157306709,
28/12/2015,-1.139459867,
29/12/2015,-0.131448193,
30/12/2015,0.297898792,
31/12/2015,-0.411255412,
01/01/2016,-2.220460621,0.782013044
02/01/2016,-0.021925867,0.781630549
03/01/2016,0.650499048,0.782011924
04/01/2016,0.70923645,0.782092646
05/01/2016,0.328906283,0.781335606
06/01/2016,0.668814911,0.7806109
07/01/2016,0.547082807,0.780630905
08/01/2016,0.583140224,0.778572485
09/01/2016,0.680724553,0.773024961
10/01/2016,0.895680256,0.774426968
11/01/2016,0.968197721,0.774536731
12/01/2016,1.018645537,0.774195136
13/01/2016,0.703136575,0.77498211
14/01/2016,0.468797182,0.775358355
15/01/2016,0.59081755,0.775702149
16/01/2016,0.640354337,0.776400619
17/01/2016,1.042206666,0.778238752
18/01/2016,0.803573886,0.779024265
19/01/2016,-0.889064589,0.780425087
20/01/2016,-0.91526641,0.781106886
21/01/2016,-0.914735964,0.781720683
22/01/2016,-0.777604521,0.782336306
23/01/2016,-0.544011502,0.782871583
24/01/2016,0.289641136,0.783004697
25/01/2016,-0.315165632,0.782756732
26/01/2016,-0.138832292,0.782415964
27/01/2016,-0.845931345,0.783162429
28/01/2016,-1.132358824,0.785337936
29/01/2016,-1.119823036,0.786465968
30/01/2016,0.035630479,0.785572528
31/01/2016,1.010744642,0.78512679
01/02/2016,0.031276078,0.785120065
02/02/2016,0.130835036,0.78357018
03/02/2016,0.811974283,0.784700557
04/02/2016,0.993486207,0.786358011
05/02/2016,0.61804558,0.786284437
06/02/2016,-0.660203471,0.786682112
07/02/2016,0.178984065,0.786383291
08/02/2016,0.305778057,0.785962485
09/02/2016,0.912120149,0.787345769
10/02/2016,1.018079718,0.786717885
11/02/2016,0.186902965,0.784427701
12/02/2016,0.273043298,0.784021435
13/02/2016,0.951645562,0.78266172
14/02/2016,0.799011845,0.772969346
15/02/2016,0.423537021,0.76402462
16/02/2016,-0.107605522,0.761072564
17/02/2016,-0.139996363,0.761111479
18/02/2016,-0.074189727,0.761069683
19/02/2016,0.628780701,0.761514842
20/02/2016,0.503350758,0.761762835
21/02/2016,0.539179297,0.75934596
22/02/2016,0.308399283,0.759493074
23/02/2016,0.446612963,0.759624497
24/02/2016,0.040897638,0.758014991
25/02/2016,0.170543166,0.758012646
26/02/2016,-0.031785154,0.757870566
27/02/2016,-0.047986002,0.757259648
28/02/2016,0.808772305,0.758290987
29/02/2016,0.566442882,0.758261675
01/03/2016,-0.320346676,0.758463034
02/03/2016,0.138096688,0.756549844
03/03/2016,0.91279086,0.757939141
04/03/2016,0.417121586,0.758182373
05/03/2016,0.566612509,0.758260472
06/03/2016,0.530610455,0.757285934
07/03/2016,0.595988371,0.756230069
08/03/2016,-0.301148094,0.756355833
09/03/2016,-1.006677222,0.75814895
10/03/2016,-0.704586651,0.758708721
11/03/2016,-0.778613197,0.759085112
12/03/2016,0.438984924,0.75840221
13/03/2016,0.358278032,0.758285843
14/03/2016,0.584487766,0.753963542
15/03/2016,-0.878318433,0.755061809
16/03/2016,-1.455872387,0.758827914
17/03/2016,-0.07652058,0.758781266
18/03/2016,-0.263023194,0.756250741
19/03/2016,-0.530606901,0.756475542
20/03/2016,-0.159961708,0.755831854
21/03/2016,-0.394935646,0.756129167
22/03/2016,-0.327085986,0.756356301
23/03/2016,0.444148039,0.756180003
24/03/2016,0.813207137,0.7572328
25/03/2016,-0.024086608,0.756040863
26/03/2016,-0.730876466,0.756921657
27/03/2016,-0.295250738,0.756600553
28/03/2016,0.311610039,0.754435291
29/03/2016,0.3878195,0.754474527
30/03/2016,-0.236533139,0.753359841
31/03/2016,-0.157215002,0.752628284
01/04/2016,-0.375735652,0.751986481
02/04/2016,-0.525528496,0.752500696
03/04/2016,-1.240055106,0.754966728
04/04/2016,-1.46933006,0.758905505
05/04/2016,-1.664496647,0.763484807
06/04/2016,-1.313489445,0.764465093
07/04/2016,-0.663008919,0.762837269
08/04/2016,-0.262092038,0.760187177
09/04/2016,0.581439251,0.759710113
10/04/2016,0.462418182,0.758792621
11/04/2016,0.397947487,0.759063464
12/04/2016,-0.008540975,0.758753952
13/04/2016,0.470419329,0.758826543
14/04/2016,0.539418167,0.758575387
15/04/2016,-0.501426467,0.758357077
16/04/2016,0.37194013,0.758292976
17/04/2016,0.392482453,0.75848146
18/04/2016,0.076265494,0.758209157
19/04/2016,0.446560885,0.757853587
20/04/2016,0.910877006,0.75932408
21/04/2016,-0.178249533,0.758412243
22/04/2016,-0.067586646,0.758417136
23/04/2016,0.646093244,0.758797707
24/04/2016,1.038063033,0.760700248
25/04/2016,0.95270305,0.755435171
26/04/2016,0.642630627,0.754647181
27/04/2016,0.65328639,0.755235347
28/04/2016,-0.524959654,0.754521606
29/04/2016,-0.613607433,0.755146238
30/04/2016,-1.201399352,0.757421771
01/05/2016,0.30533631,0.756338982
02/05/2016,-0.040526755,0.75512514
03/05/2016,0.92980385,0.756557602
04/05/2016,0.866923538,0.756260301
05/05/2016,0.671538302,0.756899226
06/05/2016,-0.284911124,0.757057048
07/05/2016,-1.092491512,0.759193537
08/05/2016,-0.841254624,0.759618635
09/05/2016,-1.660934679,0.764567093
10/05/2016,-0.779087936,0.763820718
11/05/2016,-0.11515368,0.762225223
12/05/2016,0.846757433,0.763481786
13/05/2016,1.026149759,0.765377809
14/05/2016,0.904264207,0.764369432
15/05/2016,0.819825933,0.764286729
16/05/2016,-0.088205903,0.764280046
17/05/2016,-0.885987924,0.765266808
18/05/2016,-0.955474084,0.766857333
19/05/2016,0.55198214,0.767168036
20/05/2016,0.324377345,0.76697189
21/05/2016,1.115667024,0.769078763
22/05/2016,-0.038056738,0.768319824
23/05/2016,0.845343587,0.768518846
24/05/2016,0.970075364,0.769682705
25/05/2016,0.166314285,0.768681525
26/05/2016,-1.357589255,0.770587039
27/05/2016,-1.613447311,0.774156816
28/05/2016,-0.777723452,0.773675566
29/05/2016,0.283470479,0.773828063
30/05/2016,0.944711759,0.77476614
31/05/2016,0.770190904,0.771747979
01/06/2016,0.009614632,0.765031542
02/06/2016,0.878983445,0.764835956
03/06/2016,0.200880134,0.764899374
04/06/2016,-0.683430942,0.765756756
05/06/2016,-1.030464031,0.767308538
06/06/2016,-0.848148007,0.76774999
07/06/2016,-0.057520487,0.766941218
08/06/2016,-0.300381598,0.765599609
09/06/2016,-0.113291623,0.762151952
10/06/2016,-1.496758099,0.763773587
11/06/2016,0.138660656,0.762775882
12/06/2016,0.635450219,0.76165536
13/06/2016,0.482541639,0.761822065
14/06/2016,0.876916863,0.76225451
15/06/2016,0.878943896,0.763571051
16/06/2016,0.89714318,0.764858565
17/06/2016,0.736066174,0.765365602
18/06/2016,-0.537578458,0.763123274
19/06/2016,-0.086833404,0.763143134
20/06/2016,-0.47580547,0.763361421
21/06/2016,-0.267971045,0.762340205
22/06/2016,0.623061284,0.762949591
