,wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/custom/name,config/custom/zone,config/custom/train_window,config/custom/valid_window,config/custom/t_size,config/custom/batch_size,config/custom/steps,config/custom/patience,config/custom/swa_step_start,config/custom/steps_per_print,config/gan/initial_noise_size,config/gan/noise_size,config/gan/hidden_size,config/gan/mlp_size,config/gan/num_layers,config/gan/generator_lr,config/gan/discriminator_lr,config/gan/init_mult1,config/gan/init_mult2,config/gan/weight_decay,logdir
4219,-1.7213460203823098e+30,True,4,174e4c26,2024-04-03_06-55-24,1712120124,30.789660215377808,94.93089151382446,9533,hpc-c11-node23.unitn.it,192.168.115.148,94.93089151382446,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,250,1000,2500,5,5,3,16,16,1,1.5296742945589658e-06,0.9935095625767562,3,0.5,0.01,174e4c26
4220,-1.9431379801625154e+31,True,15,4aeafe70,2024-04-03_06-58-22,1712120302,18.77528214454651,265.48688673973083,9622,hpc-c11-node23.unitn.it,192.168.115.148,265.48688673973083,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,250,1000,2500,5,5,3,16,16,1,2.308885336087245e-06,0.856251321906334,3,0.5,0.01,4aeafe70
4221,-6629204354050731.0,True,4,4871b62a,2024-04-03_06-55-42,1712120142,22.300631523132324,94.15952372550964,9705,hpc-c11-node23.unitn.it,192.168.115.148,94.15952372550964,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,250,1000,2500,5,5,3,16,16,1,1.6122025974897405e-06,0.7236553582913083,3,0.5,0.01,4871b62a
4222,-68170.96323529411,True,1,3bd04b29,2024-04-03_06-55-16,1712120116,28.349246740341187,28.349246740341187,9793,hpc-c11-node23.unitn.it,192.168.115.148,28.349246740341187,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,250,1000,2500,5,5,3,16,16,1,3.5011586223560974e-06,0.9986844227255139,3,0.5,0.01,3bd04b29
4223,-5382.868326822917,True,1,afe254ec,2024-04-03_06-56-03,1712120163,31.10978674888611,31.10978674888611,9879,hpc-c11-node23.unitn.it,192.168.115.148,31.10978674888611,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,128,250,1000,2500,5,5,3,16,16,1,1.2635885595009604e-06,0.5298341114851162,3,0.5,0.01,afe254ec
4224,-16387.866102430555,True,1,8b01e213,2024-04-03_06-56-10,1712120170,22.97704815864563,22.97704815864563,9970,hpc-c11-node23.unitn.it,192.168.115.148,22.97704815864563,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,250,1000,2500,5,5,3,16,16,1,2.1284988764808028e-06,0.7316272609639517,3,0.5,0.01,8b01e213
4225,-3790.301068474265,True,1,f93f6426,2024-04-03_06-56-30,1712120190,20.38543701171875,20.38543701171875,10055,hpc-c11-node23.unitn.it,192.168.115.148,20.38543701171875,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,250,1000,2500,5,5,3,16,16,1,1.2882967168228154e-06,0.44706543397867377,3,0.5,0.01,f93f6426
4226,-10876.109489889706,True,1,3c3f28c7,2024-04-03_06-56-40,1712120200,22.232767343521118,22.232767343521118,10141,hpc-c11-node23.unitn.it,192.168.115.148,22.232767343521118,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,250,1000,2500,5,5,3,16,16,1,1.0025429323781467e-06,0.6177171668496269,3,0.5,0.01,3c3f28c7
4227,-3.6469319589756676e+31,True,15,a1882d0b,2024-04-03_07-01-07,1712120467,17.375280380249023,272.07619047164917,10226,hpc-c11-node23.unitn.it,192.168.115.148,272.07619047164917,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,250,1000,2500,5,5,3,16,16,1,3.1886737047704154e-06,0.7572703015422424,3,0.5,0.01,a1882d0b
4228,-27110.850694444445,True,1,1e54fc25,2024-04-03_06-57-08,1712120228,22.058229684829712,22.058229684829712,10312,hpc-c11-node23.unitn.it,192.168.115.148,22.058229684829712,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,250,1000,2500,5,5,3,16,16,1,1.91522273163409e-06,0.8649374758217483,3,0.5,0.01,1e54fc25
4229,-8153.97012867647,True,1,02d11bf0,2024-04-03_06-57-38,1712120258,23.21045422554016,23.21045422554016,10399,hpc-c11-node23.unitn.it,192.168.115.148,23.21045422554016,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,250,1000,2500,5,5,3,16,16,1,2.548236916706481e-06,0.5753324401395801,3,0.5,0.01,02d11bf0
4230,-3.5820169266426195e+31,True,15,c9373037,2024-04-03_07-05-30,1712120730,39.542728424072266,475.979385137558,10491,hpc-c11-node23.unitn.it,192.168.115.148,475.979385137558,15,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,32,250,1000,2500,5,5,3,16,16,1,1.609852063706348e-06,0.8406711810902087,3,0.5,0.01,c9373037
4231,-1324276641878738.8,True,4,f684be98,2024-04-03_07-01-08,1712120468,48.746344566345215,180.37302660942078,10654,hpc-c11-node23.unitn.it,192.168.115.148,180.37302660942078,4,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,8,250,1000,2500,5,5,3,16,16,1,1.2459556871047753e-06,0.9953196864402583,3,0.5,0.01,f684be98
4232,-2885.6963034237133,True,1,dd4df57a,2024-04-03_06-58-46,1712120326,18.563637495040894,18.563637495040894,10821,hpc-c11-node23.unitn.it,192.168.115.148,18.563637495040894,1,SUD_v2,SUD,"('2015-01', '2020-12')","('2021-01', '2021-09')",7,16,250,1000,2500,5,5,3,16,16,1,3.848021526208239e-06,0.40266703546758753,3,0.5,0.01,dd4df57a
