wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-1076.8409531537225,False,1,95e3b52f,2024-03-11_19-06-01,1710180361,8.463751077651978,8.463751077651978,34377,MacBookAir-di-Nicola,127.0.0.1,8.463751077651978,1
-1162.351993336397,False,2,95e3b52f,2024-03-11_19-06-10,1710180370,9.559288024902344,18.02303910255432,34377,MacBookAir-di-Nicola,127.0.0.1,18.02303910255432,2
-1200.4742180319392,False,3,95e3b52f,2024-03-11_19-06-16,1710180376,5.982025861740112,24.005064964294434,34377,MacBookAir-di-Nicola,127.0.0.1,24.005064964294434,3
-1346.877139820772,True,4,95e3b52f,2024-03-11_19-06-23,1710180383,6.521600961685181,30.526665925979614,34377,MacBookAir-di-Nicola,127.0.0.1,30.526665925979614,4
