wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-1076.4872077493108,False,1,504881d1,2024-03-12_14-37-45,1710250665,9.731278896331787,9.731278896331787,51952,MacBookAir-di-Nicola,127.0.0.1,9.731278896331787,1
-1142.34670122932,False,2,504881d1,2024-03-12_14-37-55,1710250675,9.6714448928833,19.402723789215088,51952,MacBookAir-di-Nicola,127.0.0.1,19.402723789215088,2
-1244.292028090533,False,3,504881d1,2024-03-12_14-38-06,1710250686,11.183182716369629,30.585906505584717,51952,MacBookAir-di-Nicola,127.0.0.1,30.585906505584717,3
-1320.1105454388787,True,4,504881d1,2024-03-12_14-38-18,1710250698,12.488343000411987,43.074249505996704,51952,MacBookAir-di-Nicola,127.0.0.1,43.074249505996704,4
