wasserstein_1d,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
-1154.5674941119025,False,1,c2a50dc4,2024-03-12_13-59-55,1710248395,12.294348001480103,12.294348001480103,48011,MacBookAir-di-Nicola,127.0.0.1,12.294348001480103,1
-1234.9437614889705,False,2,c2a50dc4,2024-03-12_14-00-15,1710248415,19.98728108406067,32.28162908554077,48011,MacBookAir-di-Nicola,127.0.0.1,32.28162908554077,2
-1405.54345703125,False,3,c2a50dc4,2024-03-12_14-00-28,1710248428,12.788174152374268,45.06980323791504,48011,MacBookAir-di-Nicola,127.0.0.1,45.06980323791504,3
-1714.2245591107537,True,4,c2a50dc4,2024-03-12_14-00-39,1710248439,11.201769828796387,56.271573066711426,48011,MacBookAir-di-Nicola,127.0.0.1,56.271573066711426,4
